Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
Nissan of Burlingame,,650-347-4800,Public - Call ahead,,,1,,,,01/31/2012,J1772,101 California Dr,Burlingame,CA,94010,
BURLINGAME,LOT V 1; City parking lot V,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,294-298 California Dr,Burlingame,CA,94010,"(37.5800222, -122.3452787)"
ALMAZ CAPITAL,WELCOME TO ALL; 2 stalls to the West from private Charepoint charger. on Alpine Road divider from parking lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,3274 Alpine Rd,Portola Valley,CA,94028,"(37.3982219, -122.1926035)"
Grail Biotech,,,Private,,,2,,,,11/15/2017,J1772,1525 O'Brien Dr,Menlo Park,CA,94025,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,,1553  El Camino Real,Redwood City,CA,94063,"(37.4808266, -122.2274333)"
The Mountain House Restaurant - Tesla Destination,,650-851-8541  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,01/01/2016,TESLA,13808 Skyline Blvd,Woodside,CA,94062,
Boardwalk Nissan,,650-364-0100,Private,,,1,,,,03/15/2011,J1772,1 Bair Island Rd,Redwood City,CA,94063,
SKYWAY LANDING,STATION 3; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,999 Skyway Rd,San Carlos,CA,94070,"(37.5077987, -122.247098)"
SKYWAY LANDING,STATION 3; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,999 Skyway Rd,San Carlos,CA,94070,"(37.5077987, -122.247098)"
Peninsula Components Inc,,,Private,,,6,,,,08/16/2016,J1772,1300 Industrial Rd,San Carlos,CA,94070,"(37.500518, -122.246433)"
CITY OF REDWOOD,RED MORTON LEFT; Red Morton Community Center parking lot,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,1014 King St,Redwood City,CA,94061,"(37.4722811, -122.2352144)"
Palo Alto Technology Center,,,Private,For tenant use only,,6,,,,11/15/2017,,1810 Embarcadero Rd,Palo Alto,CA,94303,"(37.450532, -122.114855)"
PRIVATE GNE,"PS TBD 1
PS TBD 2",888-758-4389,Private,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,510 Cabot Rd,South San Francisco,CA,94080,"(37.654163, -122.391172)"
MENLO PARK,CIVIC CNTR ST 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400-598 Mielke Dr,Menlo Park,CA,94025,
FACEBOOK,MPK 29-10GW; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,,220 Jefferson Dr MPK 29,Menlo Park,CA,94025,"(37.4821176, -122.1691144)"
San Mateo Caltrain Station,,877-455-3833,Public - Card key at all times,,,2,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,385 1st Ave,San Mateo,CA,94401,
