Zip Code,City
94002,Belmont
94003,Belmont
94005,Brisbane
94010,Burlingame
94010,Hillsborough
94011,Burlingame
94012,Burlingame
94014,Colma
94014,Daly City
94015,Daly City
94016,Daly City
94017,Daly City
94018,El Granada
94019,Half Moon Bay
94020,La Honda
94021,Loma Mar
94025,West Menlo Park
94025,Menlo Park
94026,Menlo Park
94027,Atherton
94027,Menlo Park
94028,Menlo Park
94028,Portola Valley
94029,Menlo Park
94030,Millbrae
94031,Millbrae
94037,Montara
94038,Moss Beach
94044,Pacifica
94045,Pacifica
94059,Redwood City
94060,Pescadero
94061,Redwood City
94062,Emerald Hills
94062,Redwood City
94062,Woodside
94063,Redwood City
94064,Redwood City
94065,Redwood City
94066,San Bruno
94067,San Bruno
94070,San Carlos
94071,San Carlos
94074,San Gregorio
94080,South San Francisco
94083,South San Francisco
94096,San Bruno
94098,San Bruno
94099,South San Francisco
94128,Airport Mail Center
94128,San Francisco
94307,Palo Alto
94308,Palo Alto
94401,San Mateo
94402,San Mateo
94403,San Mateo
94404,Foster City
94404,San Mateo
94405,San Mateo
94406,San Mateo
94407,San Mateo
94408,San Mateo
94409,San Mateo
